指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="930740",300红利LV,2018-12-04,=-0.0066,=6835.5503,=-0.0465,=8.5952,=0.7859,=5.4153,=6.8338,=7.5337,=8.6603,=9.6903,=0.8365,=0.4260,=0.6159,=0.7733,=0.8564,=0.9455,=1.0604,=1.5032,=0.8016,=0.6725,=0.8577,=1.0801,=1.5028,=1.9253,=0.0452,=0.4959,=0.0370,=0.0418,=0.0453,=0.0512,=0.0622,=0.0239,=0.0932,=0.0223,=625
="930955",红利低波100,2017-05-26,=-0.0015,=11280.2951,=-0.0433,=8.6163,=0.8012,=5.0805,=6.0767,=7.4318,=8.6130,=11.5013,=0.8544,=0.5654,=0.5792,=0.6666,=0.8277,=0.9881,=1.3722,=1.4584,=0.8990,=0.5888,=0.7789,=0.9915,=1.3655,=1.7525,=0.0459,=0.3864,=0.0270,=0.0431,=0.0471,=0.0561,=0.0683,=0.0234,=0.0928,=0.0257,=2288
="000919",300价值,2008-01-21,=-0.0129,=4894.7167,=-0.0797,=8.6957,=0.6146,=5.9577,=7.3283,=8.4456,=9.2438,=12.2376,=0.8709,=0.2741,=0.6917,=0.8489,=0.9365,=1.1473,=1.5388,=1.0807,=0.7436,=0.6314,=0.7861,=0.9060,=1.1066,=1.3421,=0.0418,=0.5783,=0.0265,=0.0361,=0.0407,=0.0490,=0.0609,=0.0228,=0.0921,=0.0242,=4329
="931848",800红利低波,2024-05-21,=-0.0045,=3102.9744,=-0.0197,=8.7111,=0.3384,=7.4155,=8.2440,=9.0584,=9.4647,=9.7854,=0.8523,=0.1836,=0.7315,=0.8562,=0.9178,=0.9688,=1.0024,=1.6013,=0.9885,=1.1714,=1.2364,=1.3514,=1.3857,=1.6456,=0.0431,=0.4359,=0.0399,=0.0412,=0.0437,=0.0518,=0.0594,=0.0237,=0.0929,=0.0230,=152
="399805",互联金融,2015-02-10,=0.0029,=2704.3000,=-0.2974,=8.8281,=0.1068,=7.5943,=9.6634,=11.3847,=13.1628,=16.5816,=0.9207,=0.0948,=0.7644,=1.0366,=1.3989,=1.7193,=2.0317,=1.6973,=0.6661,=1.1667,=1.4082,=1.6147,=1.7935,=2.2636,=0.0370,=0.9114,=0.0145,=0.0184,=0.0235,=0.0336,=0.0507,=0.0238,=0.0940,=0.0248,=328
="000825",央企红利,2012-07-20,=-0.0128,=3239.2197,=-0.0620,=8.8508,=0.8805,=4.7369,=6.0940,=7.3075,=8.4413,=10.5687,=0.8559,=0.5008,=0.5507,=0.6915,=0.8555,=0.9983,=1.3929,=1.1777,=0.7123,=0.6009,=0.8548,=1.0710,=1.2189,=1.7357,=0.0434,=0.2514,=0.0330,=0.0422,=0.0473,=0.0555,=0.0713,=0.0224,=0.0902,=0.0228,=362
="000968",300周期,2010-05-28,,,=-0.1069,=9.1445,=0.5029,=6.1174,=7.8172,=9.1344,=10.2896,=13.3562,=0.9134,=0.3104,=0.7021,=0.8484,=1,=1.1755,=1.5550,=1.5065,=0.8092,=0.8459,=1.0834,=1.2645,=1.4971,=1.8297,=0.0371,=0.5989,=0.0230,=0.0318,=0.0360,=0.0470,=0.0569,=0.0243,=0.0922,=0.0244,=100
="932305",智选高股息,2024-09-30,=-0.0029,=11183.2178,=0.0021,=9.2460,=0.7153,=7.0143,=7.4959,=8.3621,=9.4240,=10.9391,=1.0531,=0.5370,=0.8750,=0.9245,=1.0501,=1.0832,=1.1675,=0.5103,=0.0417,=0.4805,=0.7248,=0.7752,=1.2724,=1.3342,=0.0613,=0.3657,=0.0457,=0.0594,=0.0641,=0.0685,=0.0723,=0.0253,=0.1000,=0.0324,=341
="931479",证券保险,2020-05-06,=-0.0160,=924.4914,=-0.1300,=9.2651,=0.0445,=8.4973,=11.7520,=13.4154,=15.4976,=21.1012,=1.2528,=0.2598,=1.0296,=1.2180,=1.3720,=1.5624,=2.2844,=1.6892,=0.7023,=1.0318,=1.2752,=1.4628,=1.7851,=2.2879,=0.0289,=0.8033,=0.0162,=0.0225,=0.0251,=0.0289,=0.0357,=0.0256,=0.1317,=0.0302,=45
="931722",国新港股通央企红利,2023-09-13,=-0.0013,=1287.6180,=-0.0227,=9.2666,=0.7759,=5.5040,=6.7091,=7.7696,=9.4557,=10.8173,=0.8412,=0.5704,=0.6213,=0.7361,=0.8252,=0.9088,=1.0298,=0.5773,=0.7112,=0.3100,=0.3826,=0.4759,=0.6101,=0.6918,=0.0549,=0.0991,=0.0469,=0.0571,=0.0617,=0.0688,=0.0823,,=0.0875,,=364
="H30356",800价值,2014-06-09,=-0.0115,=6119.3215,=-0.0793,=9.2804,=0.5881,=6.4024,=7.7031,=9.0544,=9.9462,=13.4784,=0.9168,=0.3182,=0.7030,=0.8634,=0.9857,=1.1669,=1.6287,=1.0346,=0.7491,=0.5868,=0.7401,=0.8839,=1.0826,=1.3738,=0.0406,=0.6170,=0.0239,=0.0336,=0.0386,=0.0475,=0.0589,=0.0232,=0.0908,=0.0237,=32
="HSML25",恒生中国(香港上市)30指数,2003-01-20,=0.0190,=8721.4100,=-0.0783,=9.2844,=0.5473,=5.7712,=7.9406,=9.0850,=10.2891,=13.0207,=1.0115,=0.3011,=0.7256,=0.9442,=1.0795,=1.2097,=1.5098,=1.6800,=0.7542,=0.9123,=1.1596,=1.4356,=1.7362,=2.4187,=0.0357,=0.4157,=0.0247,=0.0321,=0.0369,=0.0450,=0.0643,,=0.1051,,=268
